state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,flow_type,hospital_benefiting,determination_basis,source_archive_path,recipient_names_source_url,amount_basis,amount_precision,disbursement_status,classification_rule,activity_type_raw,contract_number,agency,begin_date,vendor_city,vendor_state,solicitation_type,cfda_number,description,award_pool,round_id,first_seen_archive
SD,1,NORTH STAR SOLUTIONS LLC,1462802,VENDOR_OR_CONTRACTOR,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-09rht-005 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | SIOUX FALLS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 26RHT00002",https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00002,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: commercial consultancy engaged through an RFP for services; named as the grant-programme management consultant in DOH's own release. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 26RHT00002, begun 2026-04-15. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/26RHT00002.html,https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00002,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-09rht-005 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,26RHT00002,09 - HEALTH,2026-04-15,SIOUX FALLS,SD,RFP (Linked) RFP Number: 26-09rht-005 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,Provide consultant services to SD Health Link to help manage the Digital Health Modernization and Technology Grant Program.,"RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,2,BUSINESS CONCEPTS & APPS INC,250000,VENDOR_OR_CONTRACTOR,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-08RHT-010 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | PIERRE, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 26RHT00003",https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00003,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: commercial consultancy engaged through an RFP for services; named as a project-management contractor in DOH's own release. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 26RHT00003, begun 2026-05-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/26RHT00003.html,https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00003,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-08RHT-010 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,26RHT00003,09 - HEALTH,2026-05-01,PIERRE,SD,RFP (Linked) RFP Number: 26-08RHT-010 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,"Provide Project Management, coordination, and technical support to DSS across multiple RHT initiatives.","RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,3,COMMUNITY HEALTH WORKER COLLAB,399013,NONPROFIT_CBO,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-09RHT-006 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | SIOUX FALLS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 26RHT00004",https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00004,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: Community Health Worker Collaborative of South Dakota, a nonprofit; the register truncates the name. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 26RHT00004, begun 2026-05-07. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/26RHT00004.html,https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00004,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-09RHT-006 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,26RHT00004,09 - HEALTH,2026-05-07,SIOUX FALLS,SD,RFP (Linked) RFP Number: 26-09RHT-006 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,"Provide technical assistance, program development, professional development, and financial sustainability asssitance to new/expanding CHW/CHR programs.","RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,4,SOUTH DAKOTA STATE UNIVERSITY,225000,UNIVERSITY_OR_AHC,No,"09 - HEALTH | Contract with State or Local Government Agency (5-18D-21(8)) | BROOKINGS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 26RHT00006",https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00006,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 26RHT00006, begun 2026-05-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/26RHT00006.html,https://open.sd.gov/contractsDocShow.aspx?DocID=26RHT00006,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,PATTERN,Contract with State or Local Government Agency (5-18D-21(8)),26RHT00006,09 - HEALTH,2026-05-01,BROOKINGS,SD,Contract with State or Local Government Agency (5-18D-21(8)),,The purpose of the contract is to implement Chronic Disease Self-Management Programming.,"RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,5,BLACK HILLS SPECIAL SERVICES,503000,NONPROFIT_CBO,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-09rht-003 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | STURGIS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00001",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00001,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: South Dakota education service cooperative, a nonprofit. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00001, begun 2026-05-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00001.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00001,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-09rht-003 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,27RHT00001,09 - HEALTH,2026-05-01,STURGIS,SD,RFP (Linked) RFP Number: 26-09rht-003 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,To provide project management support for the Chronic Disease Management Initiative for Rural Health Transformation.,"RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,6,GUIDEHOUSE INC,567350,VENDOR_OR_CONTRACTOR,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-09RHT-013 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | CHICAGO, IL",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00005",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00005,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Curated override: national management consultancy engaged through an RFP for services. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00005, begun 2026-06-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00005.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00005,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-09RHT-013 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,27RHT00005,09 - HEALTH,2026-06-01,CHICAGO,IL,RFP (Linked) RFP Number: 26-09RHT-013 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,Conduct the Statewide Maternal Health Access and Services Assessment for the Rural Health Transformation Project.,"RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,7,MYERS & STAUFFER LLC,450000,VENDOR_OR_CONTRACTOR,No,"09 - HEALTH | RFP (Linked) RFP Number: 26-08RHT-008 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/ | KANSAS CITY, MO",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00007",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00007,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Curated override: actuarial and accounting firm engaged through an RFP for services. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00007, begun 2026-06-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00007.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00007,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,RFP (Linked) RFP Number: 26-08RHT-008 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,27RHT00007,09 - HEALTH,2026-06-01,KANSAS CITY,MO,RFP (Linked) RFP Number: 26-08RHT-008 Solicitation Link: https://boa.sd.gov/central-services/procurement-management/,,The purpose of this contract is to assist the State in developing a population-based alternative payment methodology for South Dakota Medicaid primary care services that incentivizes providers and patients and promotes shared accountability for cost and utilization.,"RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,8,ACTIVE GENERATION,226930,NONPROFIT_CBO,No,"09 - HEALTH | NA | SIOUX FALLS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00008",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00008,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: Sioux Falls nonprofit senior services centre. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00008, begun 2026-07-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00008.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00008,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,,27RHT00008,09 - HEALTH,2026-07-01,SIOUX FALLS,SD,,93.798,"Develop, launch, and evaluate a Caregiver Concierge mobile application that includes guidance, access to educational resources, register for support groups and classes, and receive referrals to available services in South Dakota.","RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,9,SD FOUNDATION FOR MEDICAL CARE,130571,NONPROFIT_CBO,No,"09 - HEALTH | NA | SIOUX FALLS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00009",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00009,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: South Dakota Foundation for Medical Care, the state's nonprofit quality improvement organisation. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00009, begun 2026-07-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00009.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00009,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,,27RHT00009,09 - HEALTH,2026-07-01,SIOUX FALLS,SD,,93.798,"Recruit and support individuals from priority and underserved communities to participate in doula training and certification. Provide mentorship, assist, and facilitate partnerships between community-based doulas and healthcare providers.","RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
SD,10,SD FOUNDATION FOR MEDICAL CARE,170816,NONPROFIT_CBO,No,"09 - HEALTH | NA | SIOUX FALLS, SD",Yes,Yes,FY2026 (Year 1),"South Dakota Open SD - Grants and Contracts register, contract 27RHT00010",https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00010,PROCUREMENT_PORTAL_POSTING,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: South Dakota Foundation for Medical Care, the state's nonprofit quality improvement organisation. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: South Dakota's Grants and Contracts register (SDCL 1-56-10 / 1-27-46), contract 27RHT00010, begun 2026-07-01. This is ADMINISTRATIVE RHTP spend and is NOT part of South Dakota's announced $31.5M (28 projects) or $90M (82 organisations) rounds.",data/evidence/SD/contract_details/27RHT00010.html,https://open.sd.gov/contractsDocShow.aspx?DocID=27RHT00010,PER_CONTRACT,EXACT_AS_PUBLISHED,CONTRACT_EXECUTED,OVERRIDE,,27RHT00010,09 - HEALTH,2026-07-01,SIOUX FALLS,SD,,93.798,"Rural Health Transformation initiative is a statewide effort focused on strengthening rural healthcare systems and improving access to quality care across South Dakota. Through strategic investments, innovative care models, and cross-agency collaboration, Rural Health Transformation is designed to build a more resilient, connected, and sustainable rural health system for communities across the state.","RHT series - programme administration, consulting, evaluation and workforce contracts",,2026-08-28_open_sd_contract_search_RHT.html
