rank,state,state_name,tier3_candidates,tier3_pass,tier3_flagged,tier3_quarantined,distinct_awardees,rcj_federal_amount_sum,rcj_amount_max,rcj_awards_records_raw,in_cms_announcements,cms_announced_date,cms_source,cms_release_url,cms_fy2026_allotment,extraction_status,survey_status,investigate
1,OR,Oregon,388,367,21,0,260,329324976.78,35000000,396,No,,,,197271578,EXTRACTED,RCJ_ONLY,No
2,AK,Alaska,247,227,20,1,153,261487660.45,25800000,250,Yes,2026-08-25,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-160-million-bring-cutting-edge-technology-drones-prescription,272174856,EXTRACTED,RCJ_AND_CMS,No
3,SC,South Carolina,227,227,0,0,128,160463221.69,8250712,228,Yes,2026-09-17,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-167-million-build-rural-care-sites-upgrade-health-technology,200030252,EXTRACTED,RCJ_AND_CMS,No
4,IN,Indiana,214,5,209,0,203,136435712.29,16806010.1,217,Yes,2026-09-03,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-120-million-expand-maternal-infant-health-services-increase-primary,206927897,EXTRACTED,RCJ_AND_CMS,No
5,MS,Mississippi,172,157,15,1,104,104786398.8,3000000,173,Yes,2026-09-15,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-104-million-transform-rural-healthcare-across-mississippi-through,205907220,EXTRACTED,RCJ_AND_CMS,No
6,MI,Michigan,149,123,26,0,132,134900059,31500000,158,Yes,2026-09-04,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-invests-25-million-modernize-healthcare-technology-expand-telehealth-improve,173128201,EXTRACTED,RCJ_AND_CMS,No
7,AL,Alabama,138,138,0,0,94,143745821,7000000,146,Yes,2026-08-24,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-144-million-improve-mental-health-substance-abuse-emergency-maternal,203404327,EXTRACTED,RCJ_AND_CMS,No
8,GA,Georgia,117,109,8,0,105,112677585,20000000,120,Yes,2026-08-27,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-93-3-million-expand-telehealth-services-advance-surgical-robotics,218862170,EXTRACTED,RCJ_AND_CMS,No
9,KS,Kansas,93,93,0,0,70,158478807.3,7137295.1,95,Yes,2026-09-14,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-nearly-17-million-adopt-emerging-healthcare-technologies-improve,221898008,EXTRACTED,RCJ_AND_CMS,No
10,FL,Florida,80,68,12,0,52,188083532.26,18512061.76,81,No,,,,209938195,EXTRACTED,RCJ_ONLY,No
11,PA,Pennsylvania,66,63,3,0,66,42198309.8,1000000,66,Yes,2026-08-19,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-35-million-investment-advance-screening-technology-secure-additional,193294054,EXTRACTED,RCJ_AND_CMS,No
12,NE,Nebraska,52,46,6,0,48,15402668.92,2441936.73,52,No,,,,218529075,EXTRACTED,RCJ_ONLY,No
13,MD,Maryland,42,42,0,0,41,84925071,6340198,42,No,,,,168180838,EXTRACTED,RCJ_ONLY,No
14,OK,Oklahoma,36,35,1,0,26,237814376.02,38020000,52,No,,,,223476949,EXTRACTED,RCJ_ONLY,No
15,NV,Nevada,33,15,18,9,33,186112475.88,40000000,54,No,,,,179931608,EXTRACTED,RCJ_ONLY,No
16,AR,Arkansas,33,31,2,0,33,172553206.45,19738729.91,33,Yes,2026-08-31,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-149-3-million-expand-telehealth-increase-access-specialty-care,208779396,EXTRACTED,RCJ_AND_CMS,No
17,TX,Texas,32,22,10,53,32,439775920,250000000,89,No,,,,281319361,INVESTIGATED_NO_LIST,RCJ_ONLY,No
18,MO,Missouri,30,3,27,0,30,7964687.43,6500000,31,Yes,2026-09-22,CMS_NEWSROOM,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-more-45-million-upgrade-rural-missouri-hospitals-connect-families,216276818,EXTRACTED,RCJ_AND_CMS,No
19,SD,South Dakota,29,28,1,0,23,41223178,31500000,29,Yes,2026-08-19,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-90-million-modernize-improve-it-interoperability-south-dakota,189477607,EXTRACTED,RCJ_AND_CMS,No
20,NH,New Hampshire,23,11,12,3,15,302352411,43810000,26,No,,,,204016550,EXTRACTED,RCJ_ONLY,No
21,WI,Wisconsin,19,16,3,0,19,100139403,44000000,21,No,,,,203670005,INVESTIGATED_NO_LIST,RCJ_ONLY,No
22,ME,Maine,17,6,11,0,16,130102049,33821698,17,No,,,,190008051,EXTRACTED,RCJ_ONLY,No
23,IA,Iowa,15,0,15,0,15,5,1,15,No,,,,209040064,EXTRACTED,RCJ_ONLY,No
24,VT,Vermont,13,7,6,0,11,221897105.93,74720667,13,Yes,2026-09-10,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-11-7-million-expand-access-improve-patient-care-facilities-strengthen,195053740,EXTRACTED,RCJ_AND_CMS,No
25,LA,Louisiana,12,10,2,0,12,55875789,30000000,13,No,,,,208374448,INVESTIGATED_NO_LIST,RCJ_ONLY,No
26,CO,Colorado,12,6,6,0,12,29129899,13093600,12,No,,,,200105604,INVESTIGATED_NO_LIST,RCJ_ONLY,No
27,DE,Delaware,12,1,11,0,12,14933348,11500000,18,No,,,,157394964,EXTRACTED,RCJ_ONLY,No
28,WV,West Virginia,12,7,5,0,11,8893345,2400000,12,Yes,2026-08-20,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-4-2-million-expand-medical-transportation-improve-patient-access-care,199476099,EXTRACTED,RCJ_AND_CMS,No
29,NJ,New Jersey,11,10,1,0,11,31969407,21748500,11,No,,,,147250806,EXTRACTED,RCJ_ONLY,No
30,NM,New Mexico,11,4,7,0,11,8793574,5464316,11,Yes,2026-09-21,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-74-million-expand-specialty-maternal-behavioral-healthcare-across-0,211484741,INVESTIGATED_NO_LIST,RCJ_AND_CMS,No
31,MN,Minnesota,10,10,0,0,10,3861811,807996,10,No,,,,193090618,INVESTIGATED_NO_PROBE,RCJ_ONLY,No
32,CT,Connecticut,7,5,2,0,6,49854129,21714915,9,Yes,2026-09-17,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-50-million-optimize-care-delivery-improve-rural-hospital,154249106,EXTRACTED,RCJ_AND_CMS,No
33,WA,Washington,6,5,1,0,6,103760000,42000000,6,No,,,,181257515,EXTRACTED,RCJ_ONLY,No
34,CA,California,4,4,0,0,4,25000000,11000000,5,No,,,,233639308,INVESTIGATED_NO_LIST,RCJ_ONLY,No
